 2nd Order Initial value Problem By Runge-Kutta 4 th Order Technique  

   X(i)           Y(i)                  U(i)                                 
======================================================================
  0.00         -0.40000001         -0.60000002
  0.10         -0.46173334         -0.63163126
  0.20         -0.52555990         -0.64014894
  0.30         -0.58860147         -0.61366379
  0.40         -0.64661235         -0.53658199
  0.50         -0.69356668         -0.38873804
  0.60         -0.72115189         -0.14438076
  0.70         -0.71815294          0.22899720
  0.80         -0.66971129          0.77199209
  0.90         -0.55644280          1.53478193
  1.00         -0.35339868          2.57876706
