 2nd Order Initial value Problem By Runge-Kutta 2nd Order Technique  

   X(i)           Y(i)                  U(i)                                 
======================================================================
  0.00         -0.40000001         -0.60000002
  0.10         -0.46200001         -0.63190317
  0.20         -0.52627969         -0.64082766
  0.30         -0.59002602         -0.61491352
  0.40         -0.64907390         -0.53859794
  0.50         -0.69749558         -0.39174658
  0.60         -0.72709668         -0.14863755
  0.70         -0.72680247          0.22321218
  0.80         -0.68191892          0.76438361
  0.90         -0.57325208          1.52505434
  1.00         -0.37606931          2.56664634
